Symbol,Buy/Sell,Entry Price,Entry Date,Exit Price,Exit Date,Per trade return,Probability,Return,Drawdowm
Upl,Buy,596.7,2019-09-30,529.13,2019-11-14,-2.83,0.0,-2.83,-2.83
Upl,Sell,529.13,2019-11-14,582.28,2019-12-30,-2.51,0.0,-5.34,-5.34
Reliance,Buy,1275.71,2019-09-26,1488.55,2020-01-08,4.17,33.33,-1.17,-1.17
Upl,Buy,582.28,2019-12-30,530.8,2020-01-27,-2.21,25.0,-3.38,-3.38
Tatamotors,Buy,139.5,2019-10-17,178.85,2020-02-06,7.05,40.0,3.67,0.0
Tatasteel,Buy,345.37,2019-10-25,449.05,2020-02-07,7.5,50.0,11.17,0.0
Upl,Sell,530.8,2020-01-27,578.18,2020-02-19,-2.23,42.86,8.94,-2.2300000000000004
Upl,Buy,578.18,2020-02-19,508.18,2020-03-02,-3.03,37.5,5.91,-5.26
Reliance,Sell,1488.55,2020-01-08,1393.96,2020-04-24,1.59,44.44,7.5,-3.67
Upl,Sell,508.18,2020-03-02,387.15,2020-05-14,5.95,50.0,13.45,0.0
Tatamotors,Sell,178.85,2020-02-06,84.35,2020-05-15,13.21,54.55,26.66,0.0
Tatasteel,Sell,449.05,2020-02-07,281.73,2020-05-28,9.32,58.33,35.98,0.0
Tatasteel,Buy,281.73,2020-05-28,353.39,2020-09-23,6.36,61.54,42.34,0.0
Tatamotors,Buy,84.35,2020-05-15,127.75,2020-10-16,12.86,64.29,55.2,0.0
Upl,Buy,387.15,2020-05-14,463.45,2020-10-19,4.93,66.67,60.13,0.0
Reliance,Buy,1393.96,2020-04-24,2022.59,2020-10-26,11.27,68.75,71.4,0.0
Tatasteel,Sell,353.39,2020-09-23,402.0,2020-10-27,-3.44,64.71,67.96,-3.440000000000012
Tatamotors,Sell,127.75,2020-10-16,150.95,2020-11-11,-4.54,61.11,63.42,-7.980000000000004
Upl,Sell,463.45,2020-10-19,442.15,2020-12-14,1.15,63.16,64.57,-6.8300000000000125
Reliance,Sell,2022.59,2020-10-26,2092.67,2021-01-21,-0.87,60.0,63.7,-7.700000000000003
Reliance,Buy,2092.67,2021-01-21,1919.62,2021-02-02,-2.07,57.14,61.63,-9.770000000000003
Tatasteel,Buy,402.0,2020-10-27,670.06,2021-02-05,16.67,59.09,78.3,0.0
Tatasteel,Sell,670.06,2021-02-05,687.56,2021-02-08,-0.65,56.52,77.65,-0.6499999999999915
Reliance,Sell,1919.62,2021-02-02,2026.08,2021-02-15,-1.39,54.17,76.26,-2.039999999999992
Tatamotors,Buy,150.95,2020-11-11,285.55,2021-03-25,22.29,56.0,98.55,0.0
Reliance,Buy,2026.08,2021-02-15,1996.68,2021-03-31,-0.36,53.85,98.19,-0.35999999999999943
Upl,Buy,442.15,2020-12-14,597.45,2021-04-27,8.78,55.56,106.97,0.0
Upl,Sell,597.45,2021-04-27,633.0,2021-05-06,-1.49,53.57,105.48,-1.4899999999999949
Tatamotors,Sell,285.55,2021-03-25,332.45,2021-05-18,-4.11,51.72,101.37,-5.599999999999994
Reliance,Sell,1996.68,2021-03-31,2088.08,2021-05-28,-1.14,50.0,100.23,-6.739999999999995
